Date,Time,Crime_Type,Latitude,Longitude,Address,District,Description,Status,Response_Time_Minutes
2024-01-01,00:11:50,Larceny,41.8243,-87.6453,2482 Cedar St,Downtown,Reported larceny incident at 2482 Cedar St.,Closed,25
2024-01-01,09:09:54,Fraud,41.796,-87.6575,1380 Maple Dr,South,Reported fraud incident at 1380 Maple Dr.,Cleared by Arrest,45
2024-01-01,12:23:05,Violent Disorder,41.873,-87.6962,5027 Main St,West,Reported violent disorder incident at 5027 Main St.,Closed,43
2024-01-01,17:41:13,Robbery,41.9414,-87.5793,1028 Maple Dr,South,Reported robbery incident at 1028 Maple Dr.,Closed,23
2024-01-01,17:59:56,Motor Vehicle Theft,41.813,-87.6074,6872 Oak Ave,East,Reported motor vehicle theft incident at 6872 Oak Ave.,Under Investigation,10
2024-01-01,22:43:08,Larceny,41.8152,-87.537,6299 Washington Blvd,Downtown,Reported larceny incident at 6299 Washington Blvd.,Cleared by Arrest,46
2024-01-02,03:29:35,Burglary,41.8426,-87.5534,8954 Main St,North,Reported burglary incident at 8954 Main St.,Under Investigation,60
2024-01-02,04:09:44,Property Theft,41.8391,-87.6258,5645 Oak Ave,East,Reported property theft incident at 5645 Oak Ave.,Under Investigation,18
2024-01-02,11:33:06,Public Intoxication,41.8761,-87.6696,8466 Washington Blvd,South,Reported public intoxication incident at 8466 Washington Blvd.,Active,10
2024-01-02,17:53:14,Burglary,41.8063,-87.5388,5563 Park Ln,South,Reported burglary incident at 5563 Park Ln.,Cleared by Arrest,26
2024-01-02,18:07:53,Drug Trafficking,41.9119,-87.7086,8437 Oak Ave,Suburban,Reported drug trafficking incident at 8437 Oak Ave.,Under Investigation,59
2024-01-02,18:12:54,Homicide,41.8572,-87.7283,7979 Main St,East,Reported homicide incident at 7979 Main St.,Active,10
2024-01-02,21:02:58,Burglary,41.9607,-87.5454,2750 Park Ln,Central,Reported burglary incident at 2750 Park Ln.,Cleared by Arrest,17
2024-01-03,06:45:14,Burglary,41.9182,-87.5907,5362 Main St,Downtown,Reported burglary incident at 5362 Main St.,Active,26
2024-01-03,07:50:09,Property Theft,41.813,-87.6548,4823 Park Ln,South,Reported property theft incident at 4823 Park Ln.,Active,18
2024-01-03,20:20:22,Property Theft,41.8128,-87.5389,3053 Washington Blvd,Downtown,Reported property theft incident at 3053 Washington Blvd.,Closed,14
2024-01-04,03:11:37,Arson,41.8632,-87.6912,8674 Cedar St,East,Reported arson incident at 8674 Cedar St.,Under Investigation,44
2024-01-04,05:20:43,Property Theft,41.8029,-87.5493,9318 Elm St,Uptown,Reported property theft incident at 9318 Elm St.,Closed,14
2024-01-04,07:33:11,Robbery,41.9084,-87.625,8836 Maple Dr,West,Reported robbery incident at 8836 Maple Dr.,Cleared by Arrest,54
2024-01-04,12:43:46,Drug Possession,41.789,-87.5716,5193 Broadway,East,Reported drug possession incident at 5193 Broadway.,Cleared by Arrest,46
2024-01-04,15:18:43,Simple Assault,41.9434,-87.6211,6307 Elm St,Downtown,Reported simple assault incident at 6307 Elm St.,Cleared by Arrest,32
2024-01-04,18:07:17,Violent Disorder,41.9108,-87.6761,5817 Broadway,North,Reported violent disorder incident at 5817 Broadway.,Active,47
2024-01-04,20:01:28,Arson,41.9584,-87.7208,761 Maple Dr,Central,Reported arson incident at 761 Maple Dr.,Active,5
2024-01-05,03:51:35,Burglary,41.8011,-87.5961,7292 Washington Blvd,West,Reported burglary incident at 7292 Washington Blvd.,Under Investigation,18
2024-01-05,05:48:34,Loitering,41.9203,-87.5593,9203 Cedar St,Uptown,Reported loitering incident at 9203 Cedar St.,Closed,42
2024-01-05,11:27:38,Property Theft,41.9047,-87.5995,4416 Maple Dr,Downtown,Reported property theft incident at 4416 Maple Dr.,Cleared by Arrest,29
2024-01-05,13:22:13,Aggravated Assault,41.8277,-87.7154,7876 Park Ln,Central,Reported aggravated assault incident at 7876 Park Ln.,Active,6
2024-01-05,16:50:58,Property Theft,41.8537,-87.5567,9572 Maple Dr,Uptown,Reported property theft incident at 9572 Maple Dr.,Closed,23
2024-01-05,19:59:11,Fraud,41.8119,-87.5744,3803 Park Ln,Central,Reported fraud incident at 3803 Park Ln.,Under Investigation,22
2024-01-05,23:19:27,Property Theft,41.9729,-87.6897,4043 Main St,Suburban,Reported property theft incident at 4043 Main St.,Active,6
2024-01-06,01:35:30,Violent Disorder,41.83,-87.7177,4599 Oak Ave,Uptown,Reported violent disorder incident at 4599 Oak Ave.,Closed,20
2024-01-06,04:17:52,Motor Vehicle Theft,41.8491,-87.5863,5725 Cedar St,Central,Reported motor vehicle theft incident at 5725 Cedar St.,Active,46
2024-01-06,04:52:49,Vandalism,41.9294,-87.5826,6436 Oak Ave,West,Reported vandalism incident at 6436 Oak Ave.,Cleared by Arrest,50
2024-01-06,21:13:43,Violent Disorder,41.8562,-87.7231,4268 Cedar St,West,Reported violent disorder incident at 4268 Cedar St.,Under Investigation,8
2024-01-07,02:27:17,Larceny,41.8322,-87.5524,6449 Elm St,Downtown,Reported larceny incident at 6449 Elm St.,Closed,40
2024-01-07,08:51:11,Disorderly Conduct,41.9441,-87.66,981 Oak Ave,South,Reported disorderly conduct incident at 981 Oak Ave.,Cleared by Arrest,39
2024-01-07,13:33:35,Loitering,41.8164,-87.6483,9973 Elm St,North,Reported loitering incident at 9973 Elm St.,Active,42
2024-01-08,02:56:07,Larceny,41.7836,-87.5346,7271 Broadway,North,Reported larceny incident at 7271 Broadway.,Active,9
2024-01-08,03:26:52,Public Intoxication,41.8299,-87.5688,9329 Main St,Central,Reported public intoxication incident at 9329 Main St.,Closed,55
2024-01-08,12:26:27,Property Theft,41.9365,-87.7259,2605 Oak Ave,South,Reported property theft incident at 2605 Oak Ave.,Closed,40
2024-01-08,13:38:58,Larceny,41.8986,-87.5692,1943 Maple Dr,West,Reported larceny incident at 1943 Maple Dr.,Closed,29
2024-01-08,15:43:17,Burglary,41.9427,-87.6595,6514 Washington Blvd,South,Reported burglary incident at 6514 Washington Blvd.,Under Investigation,16
2024-01-08,16:11:01,Homicide,41.9033,-87.6022,5199 Washington Blvd,Uptown,Reported homicide incident at 5199 Washington Blvd.,Active,26
2024-01-08,18:08:17,Vandalism,41.9214,-87.7105,6796 Main St,Suburban,Reported vandalism incident at 6796 Main St.,Active,6
2024-01-09,00:02:36,Vandalism,41.8587,-87.5781,8314 Main St,East,Reported vandalism incident at 8314 Main St.,Cleared by Arrest,5
2024-01-09,00:15:53,Simple Assault,41.8825,-87.6415,4561 Elm St,South,Reported simple assault incident at 4561 Elm St.,Under Investigation,58
2024-01-09,03:36:23,Homicide,41.8933,-87.5445,1638 Washington Blvd,West,Reported homicide incident at 1638 Washington Blvd.,Cleared by Arrest,49
2024-01-09,03:46:35,Property Theft,41.859,-87.7187,7656 Elm St,Central,Reported property theft incident at 7656 Elm St.,Closed,14
2024-01-09,05:09:51,Robbery,41.8836,-87.5424,7337 Washington Blvd,North,Reported robbery incident at 7337 Washington Blvd.,Closed,48
2024-01-09,05:27:28,Loitering,41.962,-87.6079,4053 Broadway,West,Reported loitering incident at 4053 Broadway.,Active,60
2024-01-09,12:28:34,Loitering,41.7783,-87.7161,1680 Main St,Downtown,Reported loitering incident at 1680 Main St.,Closed,50
2024-01-09,12:43:52,Aggravated Assault,41.8883,-87.5364,3097 Washington Blvd,South,Reported aggravated assault incident at 3097 Washington Blvd.,Under Investigation,24
2024-01-09,13:33:46,Aggravated Assault,41.819,-87.6867,8347 Maple Dr,East,Reported aggravated assault incident at 8347 Maple Dr.,Cleared by Arrest,7
2024-01-09,14:51:55,Property Theft,41.8014,-87.64,4472 Park Ln,South,Reported property theft incident at 4472 Park Ln.,Under Investigation,21
2024-01-09,17:39:34,Burglary,41.9049,-87.5785,5453 Main St,Downtown,Reported burglary incident at 5453 Main St.,Under Investigation,48
2024-01-09,19:23:11,Public Intoxication,41.9495,-87.5894,6869 Main St,East,Reported public intoxication incident at 6869 Main St.,Under Investigation,30
2024-01-09,23:33:16,Drug Possession,41.8588,-87.5528,1031 Oak Ave,North,Reported drug possession incident at 1031 Oak Ave.,Cleared by Arrest,44
2024-01-10,00:29:59,Narcotics Distribution,41.801,-87.685,5169 Elm St,Suburban,Reported narcotics distribution incident at 5169 Elm St.,Active,35
2024-01-10,01:02:39,Vandalism,41.8217,-87.5312,9698 Cedar St,South,Reported vandalism incident at 9698 Cedar St.,Cleared by Arrest,6
2024-01-10,03:00:50,Vandalism,41.9407,-87.5463,9168 Maple Dr,North,Reported vandalism incident at 9168 Maple Dr.,Closed,5
2024-01-10,06:13:50,Motor Vehicle Theft,41.8584,-87.6415,3279 Main St,Uptown,Reported motor vehicle theft incident at 3279 Main St.,Under Investigation,35
2024-01-10,08:28:39,Homicide,41.8012,-87.5844,2143 Park Ln,East,Reported homicide incident at 2143 Park Ln.,Under Investigation,41
2024-01-10,13:24:20,Drug Trafficking,41.8004,-87.6227,3725 Main St,Suburban,Reported drug trafficking incident at 3725 Main St.,Active,58
2024-01-10,17:37:56,Drug Trafficking,41.8168,-87.662,5427 Cedar St,West,Reported drug trafficking incident at 5427 Cedar St.,Active,6
2024-01-10,20:28:53,Property Theft,41.9297,-87.6906,7027 Park Ln,Suburban,Reported property theft incident at 7027 Park Ln.,Under Investigation,47
2024-01-11,05:25:12,Fraud,41.9748,-87.5864,7269 Cedar St,Suburban,Reported fraud incident at 7269 Cedar St.,Cleared by Arrest,6
2024-01-11,05:44:34,Arson,41.9546,-87.6162,2265 Washington Blvd,Suburban,Reported arson incident at 2265 Washington Blvd.,Under Investigation,6
2024-01-11,06:07:50,Narcotics Distribution,41.9441,-87.5314,2608 Oak Ave,West,Reported narcotics distribution incident at 2608 Oak Ave.,Active,37
